genbank_accession,file,path,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_mapped,TEC_percentage,TEC_total,artifact_mapped,artifact_percentage,artifact_total,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_41900115.1,GCA_041900115.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041900115.1/GCA_041900115.1_mapping_stats.mapping_stats.txt,352,85.64,411,220,92.83,237,1016,99.8,1018,7,36.84,19,34406,99.49,34584,1868,99.52,1877,2196,99.41,2209,10449,99.45,10507,19303,99.6,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,936,99.68,939,258,99.61,259,3237,97.77,3311,4,100,4
GCA_45999905.1,GCA_045999905.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_045999905.1/GCA_045999905.1_mapping_stats.mapping_stats.txt,393,95.62,411,230,97.05,237,1016,99.8,1018,7,36.84,19,34410,99.5,34584,1864,99.31,1877,2188,99.05,2209,10421,99.18,10507,19298,99.57,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,938,99.89,939,259,100,259,3231,97.58,3311,4,100,4
GCA_46000055.1,GCA_046000055.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_046000055.1/GCA_046000055.1_mapping_stats.mapping_stats.txt,400,97.32,411,231,97.47,237,1017,99.9,1018,7,36.84,19,34405,99.48,34584,1865,99.36,1877,2191,99.19,2209,10445,99.41,10507,19298,99.57,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1864,98.47,1893,937,99.79,939,258,99.61,259,3206,96.83,3311,4,100,4
GCA_45999925.1,GCA_045999925.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_045999925.1/GCA_045999925.1_mapping_stats.mapping_stats.txt,361,87.83,411,222,93.67,237,1016,99.8,1018,7,36.84,19,34428,99.55,34584,1867,99.47,1877,2192,99.23,2209,10450,99.46,10507,19299,99.58,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,938,99.89,939,259,100,259,3227,97.46,3311,4,100,4
GCA_45999895.1,GCA_045999895.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_045999895.1/GCA_045999895.1_mapping_stats.mapping_stats.txt,367,89.29,411,230,97.05,237,1015,99.71,1018,7,36.84,19,34421,99.53,34584,1870,99.63,1877,2191,99.19,2209,10439,99.35,10507,19304,99.6,19381,4,100,4,51,96.23,486,99.39,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1875,99.05,1893,936,99.68,939,257,99.23,259,3213,97.04,3311,4,100,4
GCA_45999885.1,GCA_045999885.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_045999885.1/GCA_045999885.1_mapping_stats.mapping_stats.txt,384,93.43,411,224,94.51,237,1017,99.9,1018,7,36.84,19,34447,99.6,34584,1867,99.47,1877,2192,99.23,2209,10452,99.48,10507,19303,99.6,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1873,98.94,1893,938,99.89,939,258,99.61,259,3233,97.64,3311,4,100,4
GCA_18852585.2,GCA_018852585.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_018852585.2/GCA_018852585.2_mapping_stats.mapping_stats.txt,347,84.43,411,212,89.45,237,1017,99.9,1018,7,36.84,19,34402,99.47,34584,1864,99.31,1877,2196,99.41,2209,10436,99.32,10507,19306,99.61,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1875,99.05,1893,936,99.68,939,259,100,259,3229,97.52,3311,4,100,4
GCA_42027095.1,GCA_042027095.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042027095.1/GCA_042027095.1_mapping_stats.mapping_stats.txt,360,87.59,411,221,93.25,237,1015,99.71,1018,7,36.84,19,34392,99.44,34584,1867,99.47,1877,2189,99.09,2209,10433,99.3,10507,19300,99.58,19381,2,50,4,50,94.34,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,935,99.57,939,258,99.61,259,3219,97.22,3311,4,100,4
GCA_42028155.1,GCA_042028155.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028155.1/GCA_042028155.1_mapping_stats.mapping_stats.txt,377,91.73,411,226,95.36,237,1018,100,1018,7,36.84,19,34401,99.47,34584,1868,99.52,1877,2196,99.41,2209,10436,99.32,10507,19303,99.6,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1875,99.05,1893,937,99.79,939,258,99.61,259,3195,96.5,3311,4,100,4
GCA_42028935.1,GCA_042028935.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028935.1_mapping_stats.mapping_stats.txt,378,91.97,411,229,96.62,237,1016,99.8,1018,8,42.11,19,34450,99.61,34584,1871,99.68,1877,2194,99.32,2209,10461,99.56,10507,19298,99.57,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,939,100,939,259,100,259,3228,97.49,3311,4,100,4
GCA_42026525.1,GCA_042026525.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042026525.1_mapping_stats.mapping_stats.txt,354,86.13,411,216,91.14,237,1015,99.71,1018,7,36.84,19,34383,99.42,34584,1864,99.31,1877,2192,99.23,2209,10434,99.31,10507,19267,99.41,19381,4,100,4,53,100,486,99.39,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1880,99.31,1893,933,99.36,939,258,99.61,259,3222,97.31,3311,4,100,4
GCA_42028895.1,GCA_042028895.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028895.1_mapping_stats.mapping_stats.txt,378,91.97,411,224,94.51,237,1017,99.9,1018,7,36.84,19,34423,99.53,34584,1866,99.41,1877,2200,99.59,2209,10455,99.51,10507,19313,99.65,19381,2,50,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1870,98.78,1893,938,99.89,939,259,100,259,3226,97.43,3311,4,100,4
GCA_42028165.1,GCA_042028165.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028165.1_mapping_stats.mapping_stats.txt,360,87.59,411,221,93.25,237,1016,99.8,1018,7,36.84,19,34428,99.55,34584,1862,99.2,1877,2198,99.5,2209,10448,99.44,10507,19294,99.55,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,937,99.79,939,258,99.61,259,3246,98.04,3311,4,100,4
GCA_42027645.1,GCA_042027645.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi/hprc/v2_missing_stats/GCA_042027645.1_mapping_stats.mapping_stats.txt,357,86.86,411,214,90.3,237,1016,99.8,1018,7,36.84,19,34402,99.47,34584,1866,99.41,1877,2194,99.32,2209,10446,99.42,10507,19302,99.59,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,933,99.36,939,259,100,259,3227,97.46,3311,4,100,4
GCA_42027145.1,GCA_042027145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027145.1_mapping_stats.mapping_stats.txt,341,82.97,411,210,88.61,237,1013,99.51,1018,7,36.84,19,34409,99.49,34584,1861,99.15,1877,2195,99.37,2209,10440,99.36,10507,19314,99.65,19381,4,100,4,49,92.45,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1868,98.68,1893,935,99.57,939,259,100,259,3219,97.22,3311,4,100,4
GCA_42027665.1,GCA_042027665.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027665.1_mapping_stats.mapping_stats.txt,352,85.64,411,225,94.94,237,1017,99.9,1018,7,36.84,19,34416,99.51,34584,1867,99.47,1877,2191,99.19,2209,10442,99.38,10507,19286,99.51,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1878,99.21,1893,938,99.89,939,258,99.61,259,3219,97.22,3311,4,100,4
GCA_42027065.1,GCA_042027065.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042027065.1/GCA_042027065.1_mapping_stats.mapping_stats.txt,308,74.94,411,173,73,237,1015,99.71,1018,7,36.84,19,34381,99.41,34584,1864,99.31,1877,2198,99.5,2209,10443,99.39,10507,19289,99.53,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1871,98.84,1893,936,99.68,939,259,100,259,3233,97.64,3311,4,100,4
GCA_42027655.1,GCA_042027655.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027655.1_mapping_stats.mapping_stats.txt,395,96.11,411,222,93.67,237,1014,99.61,1018,7,36.84,19,34407,99.49,34584,1869,99.57,1877,2197,99.46,2209,10447,99.43,10507,19290,99.53,19381,4,100,4,50,94.34,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,939,100,939,258,99.61,259,3228,97.49,3311,4,100,4
GCA_42027105.1,GCA_042027105.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027105.1_mapping_stats.mapping_stats.txt,395,96.11,411,232,97.89,237,1017,99.9,1018,7,36.84,19,34413,99.51,34584,1869,99.57,1877,2193,99.28,2209,10438,99.34,10507,19273,99.44,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1869,98.73,1893,938,99.89,939,259,100,259,3221,97.28,3311,4,100,4
GCA_42030185.1,GCA_042030185.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042030185.1_mapping_stats.mapping_stats.txt,387,94.16,411,228,96.2,237,1016,99.8,1018,7,36.84,19,34410,99.5,34584,1865,99.36,1877,2196,99.41,2209,10447,99.43,10507,19302,99.59,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,936,99.68,939,259,100,259,3244,97.98,3311,4,100,4
GCA_42030175.1,GCA_042030175.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042030175.1_mapping_stats.mapping_stats.txt,370,90.02,411,225,94.94,237,1014,99.61,1018,7,36.84,19,34441,99.59,34584,1871,99.68,1877,2201,99.64,2209,10461,99.56,10507,19303,99.6,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1878,99.21,1893,933,99.36,939,259,100,259,3240,97.86,3311,4,100,4
GCA_42029645.1,GCA_042029645.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042029645.1_mapping_stats.mapping_stats.txt,371,90.27,411,229,96.62,237,1013,99.51,1018,7,36.84,19,34417,99.52,34584,1865,99.36,1877,2193,99.28,2209,10447,99.43,10507,19297,99.57,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1868,98.68,1893,937,99.79,939,259,100,259,3228,97.49,3311,4,100,4
GCA_42026465.1,GCA_042026465.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042026465.1_mapping_stats.mapping_stats.txt,387,94.16,411,228,96.2,237,1017,99.9,1018,7,36.84,19,34406,99.49,34584,1864,99.31,1877,2194,99.32,2209,10442,99.38,10507,19300,99.58,19381,4,100,4,53,100,486,99.39,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,939,100,939,259,100,259,3213,97.04,3311,4,100,4
GCA_42026455.1,GCA_042026455.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042026455.1_mapping_stats.mapping_stats.txt,387,94.16,411,221,93.25,237,1016,99.8,1018,7,36.84,19,34397,99.46,34584,1866,99.41,1877,2195,99.37,2209,10435,99.31,10507,19303,99.6,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1873,98.94,1893,937,99.79,939,258,99.61,259,3234,97.67,3311,3,75,4
GCA_42027635.1,GCA_042027635.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027635.1_mapping_stats.mapping_stats.txt,357,86.86,411,225,94.94,237,1018,100,1018,7,36.84,19,34443,99.59,34584,1868,99.52,1877,2200,99.59,2209,10463,99.58,10507,19330,99.74,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1878,99.21,1893,938,99.89,939,259,100,259,3239,97.83,3311,4,100,4
GCA_42026475.1,GCA_042026475.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042026475.1_mapping_stats.mapping_stats.txt,369,89.78,411,227,95.78,237,1016,99.8,1018,7,36.84,19,34446,99.6,34584,1866,99.41,1877,2200,99.59,2209,10459,99.54,10507,19314,99.65,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1880,99.31,1893,939,100,939,258,99.61,259,3245,98.01,3311,4,100,4
GCA_42029905.1,GCA_042029905.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042029905.1/GCA_042029905.1_mapping_stats.mapping_stats.txt,391,95.13,411,222,93.67,237,1015,99.71,1018,7,36.84,19,34432,99.56,34584,1870,99.63,1877,2196,99.41,2209,10457,99.52,10507,19305,99.61,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,937,99.79,939,259,100,259,3246,98.04,3311,4,100,4
GCA_42028975.1,GCA_042028975.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028975.1_mapping_stats.mapping_stats.txt,389,94.65,411,221,93.25,237,1015,99.71,1018,7,36.84,19,34428,99.55,34584,1867,99.47,1877,2195,99.37,2209,10440,99.36,10507,19310,99.63,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1870,98.78,1893,937,99.79,939,259,100,259,3214,97.07,3311,4,100,4
GCA_42028065.1,GCA_042028065.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028065.1_mapping_stats.mapping_stats.txt,401,97.57,411,234,98.73,237,1014,99.61,1018,7,36.84,19,34420,99.53,34584,1864,99.31,1877,2198,99.5,2209,10461,99.56,10507,19317,99.67,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1870,98.78,1893,939,100,939,257,99.23,259,3235,97.7,3311,4,100,4
GCA_42029495.1,GCA_042029495.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042029495.1/GCA_042029495.1_mapping_stats.mapping_stats.txt,358,87.1,411,215,90.72,237,1015,99.71,1018,7,36.84,19,34449,99.61,34584,1869,99.57,1877,2195,99.37,2209,10450,99.46,10507,19322,99.7,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,938,99.89,939,259,100,259,3247,98.07,3311,4,100,4
GCA_42029535.1,GCA_042029535.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029535.1/GCA_042029535.1_mapping_stats.mapping_stats.txt,398,96.84,411,234,98.73,237,1017,99.9,1018,7,36.84,19,34446,99.6,34584,1862,99.2,1877,2197,99.46,2209,10447,99.43,10507,19315,99.66,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1871,98.84,1893,936,99.68,939,259,100,259,3240,97.86,3311,4,100,4
GCA_42028875.1,GCA_042028875.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028875.1/GCA_042028875.1_mapping_stats.mapping_stats.txt,383,93.19,411,231,97.47,237,1018,100,1018,7,36.84,19,34426,99.54,34584,1871,99.68,1877,2195,99.37,2209,10448,99.44,10507,19306,99.61,19381,4,100,4,50,94.34,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1872,98.89,1893,939,100,939,258,99.61,259,3238,97.8,3311,4,100,4
GCA_42029545.1,GCA_042029545.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029545.1/GCA_042029545.1_mapping_stats.mapping_stats.txt,326,79.32,411,160,67.51,237,1014,99.61,1018,7,36.84,19,34408,99.49,34584,1864,99.31,1877,2195,99.37,2209,10442,99.38,10507,19300,99.58,19381,4,100,4,52,98.11,486,99.39,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1873,98.94,1893,934,99.47,939,258,99.61,259,3228,97.49,3311,4,100,4
GCA_42026535.1,GCA_042026535.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042026535.1/GCA_042026535.1_mapping_stats.mapping_stats.txt,378,91.97,411,229,96.62,237,1017,99.9,1018,7,36.84,19,34416,99.51,34584,1871,99.68,1877,2194,99.32,2209,10449,99.45,10507,19308,99.62,19381,4,100,4,50,94.34,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,938,99.89,939,258,99.61,259,3227,97.46,3311,4,100,4
GCA_42029485.1,GCA_042029485.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029485.1/GCA_042029485.1_mapping_stats.mapping_stats.txt,384,93.43,411,228,96.2,237,1017,99.9,1018,7,36.84,19,34401,99.47,34584,1863,99.25,1877,2194,99.32,2209,10449,99.45,10507,19304,99.6,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,936,99.68,939,259,100,259,3232,97.61,3311,3,75,4
GCA_42028025.1,GCA_042028025.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028025.1/GCA_042028025.1_mapping_stats.mapping_stats.txt,351,85.4,411,224,94.51,237,1016,99.8,1018,7,36.84,19,34413,99.51,34584,1861,99.15,1877,2192,99.23,2209,10452,99.48,10507,19297,99.57,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1880,99.31,1893,936,99.68,939,259,100,259,3222,97.31,3311,4,100,4
GCA_42028145.1,GCA_042028145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028145.1/GCA_042028145.1_mapping_stats.mapping_stats.txt,386,93.92,411,225,94.94,237,1015,99.71,1018,7,36.84,19,34420,99.53,34584,1870,99.63,1877,2196,99.41,2209,10455,99.51,10507,19307,99.62,19381,4,100,4,50,94.34,489,100,489,53,8,100,8,5,100,5,1,100,1,47,95.92,49,1875,99.05,1893,931,99.15,939,259,100,259,3230,97.55,3311,4,100,4
GCA_42028945.1,GCA_042028945.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028945.1/GCA_042028945.1_mapping_stats.mapping_stats.txt,350,85.16,411,217,91.56,237,1015,99.71,1018,7,36.84,19,34406,99.49,34584,1861,99.15,1877,2198,99.5,2209,10451,99.47,10507,19302,99.59,19381,4,100,4,51,96.23,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1873,98.94,1893,939,100,939,259,100,259,3233,97.64,3311,4,100,4
GCA_42027765.1,GCA_042027765.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042027765.1/GCA_042027765.1_mapping_stats.mapping_stats.txt,374,91,411,232,97.89,237,1016,99.8,1018,7,36.84,19,34396,99.46,34584,1870,99.63,1877,2195,99.37,2209,10445,99.41,10507,19300,99.58,19381,2,50,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,937,99.79,939,259,100,259,3225,97.4,3311,4,100,4
GCA_42029385.1,GCA_042029385.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029385.1/GCA_042029385.1_mapping_stats.mapping_stats.txt,373,90.75,411,225,94.94,237,1018,100,1018,7,36.84,19,34405,99.48,34584,1870,99.63,1877,2190,99.14,2209,10429,99.26,10507,19282,99.49,19381,4,100,4,51,96.23,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,938,99.89,939,258,99.61,259,3207,96.86,3311,4,100,4
GCA_46056425.1,GCA_046056425.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046056425.1/GCA_046056425.1_mapping_stats.mapping_stats.txt,368,89.54,411,218,91.98,237,1018,100,1018,7,36.84,19,34434,99.57,34584,1867,99.47,1877,2198,99.5,2209,10441,99.37,10507,19307,99.62,19381,4,100,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1874,99,1893,935,99.57,939,259,100,259,3243,97.95,3311,4,100,4
GCA_18472605.2,GCA_018472605.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb45_production/GCA_018472605.2/GCA_018472605.2_mapping_stats.mapping_stats.txt,357,86.86,411,220,92.83,237,1013,99.51,1018,7,36.84,19,34395,99.45,34584,1865,99.36,1877,2195,99.37,2209,10443,99.39,10507,19289,99.53,19381,3,75,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1869,98.73,1893,935,99.57,939,259,100,259,3223,97.34,3311,4,100,4
GCA_18471095.2,GCA_018471095.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471095.2/GCA_018471095.2_mapping_stats.mapping_stats.txt,394,95.86,411,224,94.51,237,1016,99.8,1018,7,36.84,19,34423,99.53,34584,1865,99.36,1877,2192,99.23,2209,10448,99.44,10507,19303,99.6,19381,4,100,4,51,96.23,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,934,99.47,939,258,99.61,259,3232,97.61,3311,4,100,4
GCA_18471345.2,GCA_018471345.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471345.2/GCA_018471345.2_mapping_stats.mapping_stats.txt,366,89.05,411,225,94.94,237,1017,99.9,1018,7,36.84,19,34408,99.49,34584,1867,99.47,1877,2195,99.37,2209,10439,99.35,10507,19301,99.59,19381,2,50,4,53,100,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1866,98.57,1893,938,99.89,939,257,99.23,259,3222,97.31,3311,4,100,4
GCA_18471085.2,GCA_018471085.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018471085.2/GCA_018471085.2_mapping_stats.mapping_stats.txt,392,95.38,411,234,98.73,237,1017,99.9,1018,7,36.84,19,34433,99.56,34584,1866,99.41,1877,2197,99.46,2209,10457,99.52,10507,19300,99.58,19381,4,100,4,50,94.34,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,935,99.57,939,258,99.61,259,3240,97.86,3311,4,100,4
GCA_18469405.2,GCA_018469405.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018469405.2/GCA_018469405.2_mapping_stats.mapping_stats.txt,376,91.48,411,225,94.94,237,1016,99.8,1018,7,36.84,19,34453,99.62,34584,1872,99.73,1877,2200,99.59,2209,10446,99.42,10507,19294,99.55,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,937,99.79,939,259,100,259,3224,97.37,3311,4,100,4
GCA_18467155.2,GCA_018467155.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018467155.2/GCA_018467155.2_mapping_stats.mapping_stats.txt,336,81.75,411,198,83.54,237,1015,99.71,1018,7,36.84,19,34408,99.49,34584,1864,99.31,1877,2198,99.5,2209,10441,99.37,10507,19292,99.54,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1867,98.63,1893,938,99.89,939,258,99.61,259,3227,97.46,3311,4,100,4
